Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1885.13,3.65,2.10,45.89,2.45,0.22,1.00,0.15,0.30
1885.28,3.54,2.07,48.65,2.43,0.22,1.00,0.15,0.32
1885.43,3.44,2.01,50.27,2.41,0.22,1.00,0.16,0.34
1885.59,3.36,1.94,50.61,2.41,0.22,1.00,0.16,0.34
1885.74,3.31,1.87,50.36,2.40,0.22,1.00,0.16,0.34
1885.89,3.28,1.83,48.97,2.39,0.22,1.00,0.16,0.33
1886.04,3.30,1.78,48.14,2.40,0.22,1.00,0.16,0.32
1886.20,3.33,1.72,53.57,2.44,0.22,1.00,0.15,0.37
1886.35,3.31,1.69,69.15,2.50,0.22,1.00,0.14,0.52
1886.50,3.24,1.65,90.96,2.55,0.22,1.00,0.13,0.72
1886.65,3.17,1.60,108.47,2.57,0.21,1.00,0.13,0.86
1886.81,3.14,1.58,115.17,2.57,0.21,1.00,0.12,0.91
1886.96,3.18,1.57,116.74,2.57,0.21,1.00,0.12,0.93
1887.11,3.22,1.58,120.68,2.57,0.21,1.00,0.12,0.96
1887.26,3.20,1.58,125.10,2.57,0.21,1.00,0.11,0.99
1887.42,3.15,1.58,126.67,2.57,0.21,1.00,0.11,1.00
1887.57,3.13,1.58,125.93,2.57,0.21,1.00,0.11,1.00
1887.72,3.16,1.59,124.32,2.58,0.21,1.00,0.11,0.98
1887.87,3.22,1.61,123.70,2.58,0.21,1.00,0.11,0.98
1888.03,3.27,1.61,124.30,2.57,0.21,1.00,0.11,0.98
1888.18,3.31,1.61,124.25,2.56,0.21,1.00,0.11,0.98
1888.33,3.28,1.62,122.67,2.57,0.21,1.00,0.11,0.97
1888.48,3.22,1.62,121.04,2.58,0.21,1.00,0.11,0.96
1888.64,3.18,1.61,122.02,2.58,0.21,1.00,0.11,0.97
1888.79,3.19,1.60,125.87,2.59,0.21,1.00,0.11,1.00
1888.94,3.23,1.59,128.15,2.59,0.21,1.00,0.11,1.00
1889.09,3.28,1.60,125.91,2.58,0.21,1.00,0.11,1.00
1889.24,3.30,1.61,122.10,2.57,0.21,1.00,0.11,0.97
1889.40,3.31,1.62,118.04,2.58,0.21,1.00,0.12,0.94
1889.55,3.31,1.63,111.93,2.57,0.21,1.00,0.12,0.89
1889.70,3.27,1.63,107.18,2.57,0.21,1.00,0.13,0.85
1889.85,3.22,1.60,108.16,2.54,0.21,1.00,0.13,0.86
1890.01,3.22,1.58,111.79,2.54,0.22,1.00,0.13,0.89
1890.16,3.23,1.57,113.76,2.54,0.22,1.00,0.13,0.90
1890.31,3.18,1.54,114.45,2.54,0.22,1.00,0.13,0.91
1890.46,3.12,1.50,113.65,2.53,0.22,1.00,0.13,0.90
1890.62,3.09,1.50,109.47,2.54,0.22,1.00,0.13,0.87
1890.77,3.13,1.53,99.71,2.53,0.22,1.00,0.14,0.79
1890.92,3.18,1.61,86.25,2.52,0.22,1.00,0.14,0.68
1891.07,3.22,1.68,78.76,2.50,0.22,1.00,0.14,0.61
1891.23,3.26,1.73,78.85,2.49,0.22,1.00,0.15,0.61
1891.38,3.29,1.79,75.22,2.47,0.22,1.00,0.15,0.58
1891.53,3.33,1.86,64.42,2.45,0.22,1.00,0.15,0.48
1891.68,3.36,1.91,54.09,2.43,0.22,1.00,0.16,0.38
1891.84,3.37,1.94,49.38,2.41,0.22,1.00,0.18,0.33
1891.99,3.34,1.94,49.20,2.39,0.22,1.00,0.19,0.33
1892.14,3.30,1.92,49.40,2.38,0.22,1.00,0.19,0.33
1892.29,3.27,1.92,48.11,2.39,0.22,1.00,0.19,0.32
1892.45,3.27,1.92,46.84,2.39,0.22,1.00,0.20,0.31
1892.60,3.31,1.93,47.53,2.39,0.22,1.00,0.20,0.31
1892.75,3.36,1.94,51.72,2.38,0.21,1.00,0.19,0.35
1892.90,3.39,1.95,57.48,2.40,0.21,1.00,0.19,0.41
1893.05,3.43,1.96,59.86,2.42,0.21,1.00,0.17,0.43
1893.21,3.43,1.97,58.46,2.43,0.21,1.00,0.17,0.42
1893.36,3.41,1.96,57.76,2.43,0.21,1.00,0.16,0.41
1893.51,3.39,1.94,58.51,2.42,0.22,1.00,0.15,0.42
1893.66,3.39,1.93,58.14,2.42,0.22,1.00,0.15,0.42
1893.82,3.39,1.94,56.96,2.42,0.21,1.00,0.15,0.41
